County,AMI,ELI_4,VLI_4,LI_4,MOD_4,ELI_to_AMI,LI_to_AMI
Alameda,147900,44350,73950,112150,177500,0.29986477349560514,0.7582826233941853
Alpine,114600,30000,48050,76900,137500,0.2617801047120419,0.6710296684118674
Amador,101200,30000,45850,73350,121450,0.2964426877470356,0.724802371541502
Butte,91600,30000,41250,65950,109900,0.32751091703056767,0.7199781659388647
Calaveras,96200,30000,47650,76250,115450,0.31185031185031187,0.7926195426195426
Colusa,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Contra Costa,147900,44350,73950,112150,177500,0.29986477349560514,0.7582826233941853
Del Norte,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
El Dorado,113900,32150,53600,85750,136700,0.28226514486391574,0.7528533801580334
Fresno,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Glenn,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Humboldt,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Imperial,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Inyo,85400,30000,42700,68300,102500,0.351288056206089,0.7997658079625293
Kern,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Kings,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Lake,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Lassen,83800,30000,41900,67050,100550,0.35799522673031026,0.8001193317422435
Los Angeles,98200,37850,63050,100900,117850,0.3854378818737271,1.0274949083503055
Madera,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Marin,175000,55900,93200,149100,210000,0.31942857142857145,0.852
Mariposa,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Mendocino,89700,30000,42500,68000,107650,0.33444816053511706,0.758082497212932
Merced,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Modoc,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Mono,95800,30000,42500,68000,114950,0.31315240083507306,0.7098121085594989
Monterey,100400,36100,60200,96350,120500,0.3595617529880478,0.9596613545816733
Napa,129600,40050,66750,106700,155500,0.3090277777777778,0.8233024691358025
Nevada,112500,31250,52100,83350,135000,0.2777777777777778,0.7408888888888889
Orange,127800,43050,71750,114800,153350,0.3368544600938967,0.8982785602503912
Placer,113900,32150,53600,85750,136700,0.28226514486391574,0.7528533801580334
Plumas,83800,30000,41900,67050,100550,0.35799522673031026,0.8001193317422435
Riverside,94500,30000,46600,74550,113400,0.31746031746031744,0.7888888888888889
Sacramento,113900,32150,53600,85750,136700,0.28226514486391574,0.7528533801580334
San Benito,140200,33400,55650,89050,168250,0.23823109843081314,0.6351640513552068
San Bernardino,94500,30000,46600,74550,113400,0.31746031746031744,0.7888888888888889
San Diego,116800,41350,68900,110250,140150,0.3540239726027397,0.9439212328767124
San Francisco,175000,55900,93200,149100,210000,0.31942857142857145,0.852
San Joaquin,100300,30000,43850,70100,120350,0.29910269192422734,0.6989032901296112
San Luis Obispo,113100,34750,57900,92650,135700,0.3072502210433245,0.8191865605658709
San Mateo,175000,55900,93200,149100,210000,0.31942857142857145,0.852
Santa Barbara,107300,44350,73950,118500,128750,0.41332712022367196,1.1043802423112767
Santa Clara,181300,53500,89200,137100,217550,0.29509100937672367,0.7562051847766134
Santa Cruz,132800,49400,82350,132100,159350,0.37198795180722893,0.9947289156626506
Shasta,89800,30000,42000,67200,107750,0.33407572383073497,0.7483296213808464
Sierra,90000,30000,45000,72000,108000,0.3333333333333333,0.8
Siskiyou,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Solano,112600,34300,57200,91500,135100,0.3046181172291297,0.8126110124333925
Sonoma,128100,37750,62900,100650,153700,0.29469164715066354,0.7857142857142857
Stanislaus,92600,30000,42200,67500,111100,0.32397408207343414,0.7289416846652268
Sutter,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Tehama,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Trinity,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Tulare,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
Tuolumne,97700,30000,44050,70450,117250,0.3070624360286592,0.7210849539406345
Ventura,123500,39850,66400,106250,148200,0.32267206477732796,0.8603238866396761
Yolo,114000,31450,52450,83900,136800,0.27587719298245617,0.7359649122807017
Yuba,83800,30000,41250,65950,100550,0.35799522673031026,0.7869928400954654
